Number,Title,HoursPlayed
1,Counter-Strike: Global Offensive,358641951
2,Dota 2,280479599
3,PLAYERUNKNOWN'S BATTLEGROUNDS,221395633
4,MONSTER HUNTER: WORLD,51280870
5,Grand Theft Auto V,83906201
6,Tom Clancy's Rainbow Six Siege,63631087
7,Team Fortress 2,48191556
8,Destiny 2,59474473
9,Rust,39680287
10,Warframe,31240362
11,ARK: Survival Evolved,33394818
12,Football Manager 2020,32779305
13,The Witcher 3: Wild Hunt,36960617
14,Path of Exile,38663739
15,Sid Meier's Civilization VI,23751844
16,Terraria,24733176
17,Rocket League,30386141
18,Garry's Mod,20138807
19,Red Dead Redemption 2,21461145
20,Total War: THREE KINGDOMS,6116734
21,Stardew Valley,18981838
22,Total War: WARHAMMER II,18754289
23,PAYDAY 2,15393348
24,Wallpaper Engine,12503998
25,Sid Meier's Civilization V,15495883
26,Dead by Daylight,17318181
27,Slay the Spire,6088743
28,Euro Truck Simulator 2,15606136
29,World of Tanks Blitz,11141853
30,Hearts of Iron IV,12942904
31,DRAGON BALL Z: KAKAROT,333196
32,NBA 2K20,9357989
33,Arma 3,9845339
34,Unturned,12659086
35,Football Manager 2019,10971237
36,7 Days to Die,12272735
37,War Thunder,10550306
38,The Elder Scrolls V: Skyrim Special Edition,11423841
39,The Elder Scrolls Online,10580038
40,Don't Starve Together,9550909
41,ROMANCE OF THE THREE KINGDOMS XIV,439162
42,Black Desert Online,9550132
43,Fallout 4,10765354
44,DayZ,10657253
45,Left 4 Dead 2,9237163
46,Cities: Skylines,9160779
47,RimWorld,8436348
48,Europa Universalis IV,9335072
49,Dota Underlords,7858602
50,Paladins,9918321
51,Assassin's Creed Odyssey,5866769
52,VRChat,5818758
53,Age of Empires II: Definitive Edition,8276186
54,Conan Exiles,9361477
55,Farming Simulator 19,8256598
56,DARK SOULS™ III,6867754
57,Stellaris,7333306
58,World of Warships,5494441
59,Counter-Strike,7514033
60,Factorio,6220353
61,FINAL FANTASY XIV Online,7574821
62,Mount & Blade: Warband,5360395
63,eFootball PES 2020,6567360
64,Brawlhalla,7929194
65,Spacewar,4998607
66,Space Engineers,5682415
67,The Elder Scrolls V: Skyrim,5996947
68,Divinity: Original Sin 2,6651775
69,Sekiro™: Shadows Die Twice,5064863
70,Oxygen Not Included,4631852
71,SMITE,6853614
72,Human: Fall Flat,4557725
73,部落与弯刀,2834257
74,Risk of Rain 2,7512865
75,Crusader Kings II,5128441
76,Dying Light,4326106
77,Age of Empires II (2013),5180088
78,Yu-Gi-Oh! Duel Links,3837481
79,The Forest,5446387
80,NGU IDLE,3545464
81,NBA 2K19,2583273
82,Kenshi,3204238
83,Company of Heroes 2,3991198
84,Transport Fever 2,5343194
85,Ring of Elysium,3095381
86,Halo: The Master Chief Collection,8226047
87,The Binding of Isaac: Rebirth,3904742
88,Idle Champions of the Forgotten Realms,3254912
89,Elite Dangerous,4232080
90,Total War: ROME II - Emperor Edition,4087239
91,Bloons TD 6,5000859
92,Grim Dawn,3599847
93,Raft,5717426
94,Shadowverse,3161031
95,ATLAS,4627570
96,No Man's Sky,3762359
97,Planet Zoo,5057089
98,Football Manager 2018,3045411
99,Hollow Knight,2967373
100,Geometry Dash,3176694
101,Crossout,2371139
102,XCOM 2,3863843
103,EVE Online,2771547
104,Borderlands 2,3345081
105,Black Desert,2514539
106,Black Squad,2277982
107,Killing Floor 2,3090734
108,Counter-Strike: Source,3148614
109,Kerbal Space Program,2548678
110,The Isle,3005289
111,Amazing Cultivation Simulator / 了不起的修仙模拟器,1565224
112,They Are Billions,2175814
113,The Sims(TM) 3,3400126
114,Hunt: Showdown,3345881
115,MORDHAU,3460018
116,SCP: Secret Laboratory,1950628
117,TEKKEN 7,2395025
118,Heroes & Generals,2030204
119,Russian Fishing 4,1818520
120,太吾绘卷 The Scroll Of Taiwu,1233224
121,American Truck Simulator,3260149
122,Subnautica,2379752
123,Darkest Dungeon®,2390382
124,Assassin's Creed Origins,1508109
125,Don't Starve,1694386
126,Total War: MEDIEVAL II - Definitive Edition,2297791
127,Far Cry 5,3297311
128,BeamNG.drive,2347225
129,Unheard,133602
130,The Witcher: Enhanced Edition,3732069
131,BATTLETECH,2719303
132,Soundpad,1930418
133,Portal 2,3233262
134,Squad,2228213
135,For Honor,2219595
136,Clicker Heroes,1829594
137,Middle-earth™: Shadow of War™,2563577
138,Hades,2991932
139,Lords Mobile,1663383
140,Kingdom Come: Deliverance,2334080
141,Starbound,2110851
142,Football Manager 2017,1769787
143,Albion Online,2033414
144,SCUM,2503093
145,Forager,655667
146,Frostpunk,1678536
147,Total War: ATTILA,2114779
148,RESIDENT EVIL 2 / BIOHAZARD RE:2,2531033
149,Total War: EMPIRE - Definitive Edition,1791061
150,Street Fighter V,1684950
151,Fallout: New Vegas,2175219
152,The Long Dark,1729284
153,DEAD OR ALIVE Xtreme Venus Vacation,1141161
154,HITMAN™ 2,1731370
155,My Time At Portia,1620796
156,Endless Space 2,893598
157,The Witcher 2: Assassins of Kings Enhanced Edition,2193521
158,Assetto Corsa,2025062
159,STAR WARS™ Empire at War: Gold Pack,2145575
160,Gems of War,1196462
161,DOOM,1522474
162,Rise of the Tomb Raider,1632751
163,Totally Accurate Battle Simulator,1404020
164,STAR WARS Jedi: Fallen Order™ ,3928257
165,theHunter: Call of the Wild™,1919138
166,Dead Cells,1461108
167,Microsoft Flight Simulator X: Steam Edition,1582789
168,ASTRONEER,2015348
169,Firestone Idle RPG,1250290
170,Tabletop Simulator,1776560
171,Z1 Battle Royale,552888
172,Plants vs. Zombies: Game of the Year,1102873
173,Car Mechanic Simulator 2018,1313133
174,Warhammer: Vermintide 2,1916890
175,Deep Rock Galactic,1902632
176,Total War: SHOGUN 2,1415784
177,Trove,1415726
178,Serial Cleaner,276254
179,DARK SOULS™: REMASTERED,1491048
180,SAO Utils,881769
181,Just Cause 3,1347485
182,Warface,1374063
183,ArcheAge: Unchained,1536129
184,Planet Coaster,1672485
185,DARK SOULS™ II: Scholar of the First Sin,1383039
186,Insurgency: Sandstorm,1659026
187,Mortal Kombat 11,1444184
188,Endless World Idle RPG,1256296
189,Age of Empires® III: Complete Collection,1780644
190,Shadow of the Tomb Raider,1593222
191,METAL GEAR SOLID V: THE PHANTOM PAIN,1262118
192,Tree of Savior (Japanese Ver.),800123
193,Tree of Savior (Japanese Ver.),800123
194,Beat Saber,1499665
195,SD GUNDAM G GENERATION CROSS RAYS,1348927
196,SD GUNDAM G GENERATION CROSS RAYS,1348927
197,KurtzPel,1094243
198,KurtzPel,1094243
199,Pathfinder: Kingmaker,1546849
200,MapleStory,1138148
201,X-Plane 11,1162906
202,Surviving Mars,1330893
203,AdVenture Capitalist,1144245
204,中国式家长/Chinese Parents,782030
205,Crusaders of the Lost Idols,1056381
206,ROMANCE OF THE THREE KINGDOMS XIII,649588
207,Enter the Gungeon,1286222
208,Hurtworld,1656978
209,Neverwinter,1109227
210,Jurassic World Evolution,2022603
211,Farming Simulator 17,1146997
212,探灵笔记-1v5(Notes of Soul),687429
213,Empyrion - Galactic Survival,1208057
214,The Crew 2,1278570
215,Kritika:REBOOT,1194428
216,House Flipper,1503865
217,Overcooked! 2,1076955
218,Assassin's Creed IV Black Flag,745271
219,Northgard,1669548
220,Blender,987857
221,Knight Online,1074683
222,Knight Online,1074683
223,Realm Royale,1112128
224,Devil May Cry 5,1206673
225,Realm Grinder,1249153
226,Realm Grinder,1249153
227,Tom Clancy's Ghost Recon® Wildlands,1012309
228,Deceit,1108912
229,PlanetSide 2,1104175
230,Sniper Elite 4,1260918
231,Tree of Savior (English Ver.),1048898
232,Men of War: Assault Squad 2,1143627
233,Farm Together,1078416
234,Call of Duty: Black Ops III,1454613
235,Two Point Hospital,1333047
236,Shakes and Fidget Remastered,981102
237,Stay Out,764671
238,Prison Architect,1330814
239,DRAGON QUEST BUILDERS™ 2,992915
240,Scrap Mechanic,971391
241,Crush Crush,1060509
242,Company of Heroes ,1055040
243,Project Zomboid,1095011
244,NBA 2K18,594817
245,Graveyard Keeper,1278527
246,Minion Masters,1014884
247,Cuisine Royale,957445
248,GTFO,1231015
249,CODE VEIN,1708943
250,EVGA Precision X1,1065860
251,F1 2019,1288748
252,Total War: WARHAMMER,1165315
253,Black Desert Online SA,1325833
254,Battle Brothers,681579
255,Football Manager 2016,1014845
256,Insurgency,1017855
257,Conqueror's Blade,1227533
258,FaceRig,725937
259,FTL: Faster Than Light,1169843
260,GemCraft - Frostborn Wrath,217466
261,GemCraft - Frostborn Wrath,217466
262,Sid Meier's Civilization IV: Beyond the Sword,1045853
263,Dragon Cliff 龙崖,747545
264,FINAL FANTASY XV WINDOWS EDITION,1069366
265,TerraTech,605651
266,Heroes of Might & Magic III - HD Edition,972598
267,Banished,1141271
268,Banished,1141271
269,Watch_Dogs 2,830256
270,Onmyoji,753164
271,Cell to Singularity - Evolution Never Ends,721153
272,Darwin Project,260757
273,Fallout Shelter,751515
274,Nioh: Complete Edition,846833
275,Subnautica: Below Zero,1073991
276,Fishing Planet,1064607
277,Fishing Planet,1064607
278,Rome: Total War,1100218
279,NOBUNAGA'S AMBITION: Taishi,438782
280,Train Simulator,961665
281,RPG Maker MV,738939
282,Titan Quest Anniversary Edition,910406
283,Shop Heroes,629425
284,Grand Theft Auto: San Andreas,1055921
285,Wizard of Legend,283231
286,Slime Rancher,1046388
287,Noita,834470
288,Stormworks: Build and Rescue,715815
289,Earth 2160,74617
290,This War of Mine,801008
291,Grim Clicker,179794
292,FreeStyle 2: Street Basketball,557324
293,Rising Storm 2: Vietnam,835142
294,Undertale,853547
295,DJMAX RESPECT V,568431
296,Age of Mythology: Extended Edition,1232655
297,Source Filmmaker,754097
298,Total War: NAPOLEON - Definitive Edition,1003977
299,Will To Live Online,491070
300,Aseprite,677253
301,Granado Espada,610669
302,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,1120966
303,NieR:Automata™,686159
304,Half-Life 2,969648
305,Endless Legend,403603
306,Imperator: Rome,1067802
307,Star Trek Online,746350
308,Star Trek Online,746350
309,Football Manager 2020 Touch,855370
310,Football Manager 2015,703583
311,Sid Meier's Civilization III: Complete,860523
312,Sid Meier's Civilization III: Complete,860523
313,Disco Elysium,1496599
314,Cadria Item Shop,486448
315,March of Empires,658257
316,Yakuza 0,690559
317,古剑奇谭三(Gujian3),420962
318,Transport Fever,902031
319,MudRunner,863102
320,Assassin's Creed Syndicate,367920
321,Cuphead,828114
322,Post Scriptum,763999
323,Tomb Raider,848452
324,VEGA Conflict,548080
325,Batman™: Arkham Knight,701320
326,Nobunaga's Ambition: Souzou with Power Up Kit,305356
327,DCS World Steam Edition,693832
328,Trailmakers,343823
329,Zula Online,236605
330,Pillars of Eternity II: Deadfire,777093
331,Assassin's Creed Unity,345792
332,CPUCores :: Maximize Your FPS,441375
333,NOBUNAGA'S AMBITION: Souzou SengokuRisshiden,308555
334,The Elder Scrolls IV: Oblivion ,863215
335,Atelier Ryza: Ever Darkness & the Secret Hideout,156325
336,Ravenfield,531982
337,Remnant: From the Ashes,1068698
338,Project CARS 2,911791
339,Naval Action,576624
340,Grand Theft Auto IV,554576
341,Assassin's Creed II,308166
342,Black Mesa,942293
343,XCOM: Enemy Unknown,712332
344,Age of Empires: Definitive Edition,951626
345,Tropico 6,729875
346,Out of the Park Baseball 20,711069
347,Idling to Rule the Gods,533501
348,Robocraft,595569
349,DRAGON BALL FighterZ,1056340
350,Realm of the Mad God,832605
351,Workers & Resources: Soviet Republic,489374
352,Dawn of Man,797741
353,Dishonored 2,804334
354,OMSI 2,541196
355,KovaaK 2.0: The Meta,618481
356,Wargame: Red Dragon,536678
357,Hell Let Loose,984773
358,X4: Foundations,601819
359,STAR WARS™: Knights of the Old Republic™,977213
360,Thief Simulator,281945
361,EARTH DEFENSE FORCE 5,530161
362,Headsnatchers,795854
363,theHunter Classic,712297
364,Digimon Masters Online,541482
